{'start_at': '2020-01-21 00:00:00', 'end_at': '2020-01-22 00:00:00', 'session time': 0.9469292163848877, 'num of subs': 326, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0016770362854003906, 'persisted submissions in': 0.9451470375061035}
{'start_at': '2020-01-22 00:00:00', 'end_at': '2020-01-23 00:00:00', 'session time': 1.1343157291412354, 'num of subs': 383, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0024728775024414062, 'persisted submissions in': 1.131700038909912}
{'start_at': '2020-01-23 00:00:00', 'end_at': '2020-01-24 00:00:00', 'session time': 0.8956558704376221, 'num of subs': 308, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0036220550537109375, 'persisted submissions in': 0.8918678760528564}
{'start_at': '2020-01-24 00:00:00', 'end_at': '2020-01-25 00:00:00', 'session time': 0.002191781997680664, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.002044200897216797, 'persisted submissions in': 5.9604644775390625e-06}
{'start_at': '2020-01-25 00:00:00', 'end_at': '2020-01-26 00:00:00', 'session time': 0.0017979145050048828, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0016849040985107422, 'persisted submissions in': 6.9141387939453125e-06}
{'start_at': '2020-01-26 00:00:00', 'end_at': '2020-01-27 00:00:00', 'session time': 0.0021419525146484375, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0019979476928710938, 'persisted submissions in': 6.9141387939453125e-06}
{'start_at': '2020-01-27 00:00:00', 'end_at': '2020-01-28 00:00:00', 'session time': 0.0017209053039550781, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0016181468963623047, 'persisted submissions in': 3.814697265625e-06}
{'start_at': '2020-01-28 00:00:00', 'end_at': '2020-01-29 00:00:00', 'session time': 0.0009212493896484375, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0008521080017089844, 'persisted submissions in': 3.0994415283203125e-06}
{'start_at': '2020-01-29 00:00:00', 'end_at': '2020-01-30 00:00:00', 'session time': 1.4161829948425293, 'num of subs': 496, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0008609294891357422, 'persisted submissions in': 1.4152641296386719}
{'start_at': '2020-01-30 00:00:00', 'end_at': '2020-01-31 00:00:00', 'session time': 0.10727071762084961, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.10711097717285156, 'persisted submissions in': 1.0728836059570312e-05}
{'start_at': '2020-01-31 00:00:00', 'end_at': '2020-02-01 00:00:00', 'session time': 0.11968588829040527, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.11948490142822266, 'persisted submissions in': 1.811981201171875e-05}
{'start_at': '2020-02-01 00:00:00', 'end_at': '2020-02-02 00:00:00', 'session time': 60.96249866485596, 'num of subs': 222, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 60.248589754104614, 'persisted submissions in': 0.7136688232421875}
{'start_at': '2020-02-02 00:00:00', 'end_at': '2020-02-03 00:00:00', 'session time': 0.18541431427001953, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.1852397918701172, 'persisted submissions in': 1.4066696166992188e-05}
{'start_at': '2020-01-30 00:00:00', 'end_at': '2020-01-31 00:00:00', 'session time': 121.87929701805115, 'num of subs': 474, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 120.4214699268341, 'persisted submissions in': 1.4576661586761475}
{'start_at': '2020-01-31 00:00:00', 'end_at': '2020-02-01 00:00:00', 'session time': 0.0024309158325195312, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.002276897430419922, 'persisted submissions in': 6.9141387939453125e-06}
{'start_at': '2020-02-01 00:00:00', 'end_at': '2020-02-02 00:00:00', 'session time': 0.6495771408081055, 'num of subs': 222, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0014481544494628906, 'persisted submissions in': 0.6480231285095215}
{'start_at': '2020-02-02 00:00:00', 'end_at': '2020-02-03 00:00:00', 'session time': 0.002043008804321289, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0018889904022216797, 'persisted submissions in': 7.152557373046875e-06}
{'start_at': '2020-02-03 00:00:00', 'end_at': '2020-02-04 00:00:00', 'session time': 0.12038397789001465, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.12024903297424316, 'persisted submissions in': 1.7881393432617188e-05}
{'start_at': '2020-02-04 00:00:00', 'end_at': '2020-02-05 00:00:00', 'session time': 0.18743181228637695, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.18715119361877441, 'persisted submissions in': 2.3126602172851562e-05}
{'start_at': '2020-02-05 00:00:00', 'end_at': '2020-02-06 00:00:00', 'session time': 53.9160430431366, 'num of subs': 883, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 51.26618504524231, 'persisted submissions in': 2.6495888233184814}
{'start_at': '2020-02-06 00:00:00', 'end_at': '2020-02-07 00:00:00', 'session time': 0.11292695999145508, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.11266613006591797, 'persisted submissions in': 1.52587890625e-05}
{'start_at': '2020-02-07 00:00:00', 'end_at': '2020-02-08 00:00:00', 'session time': 51.07974886894226, 'num of subs': 609, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 49.272785902023315, 'persisted submissions in': 1.8066809177398682}
{'start_at': '2020-02-08 00:00:00', 'end_at': '2020-02-09 00:00:00', 'session time': 59.19100999832153, 'num of subs': 326, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 58.1964590549469, 'persisted submissions in': 0.9943830966949463}
{'start_at': '2020-02-03 00:00:00', 'end_at': '2020-02-04 00:00:00', 'session time': 175.2041358947754, 'num of subs': 567, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 173.49842381477356, 'persisted submissions in': 1.705505132675171}
{'start_at': '2020-02-04 00:00:00', 'end_at': '2020-02-05 00:00:00', 'session time': 0.0026328563690185547, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.002476215362548828, 'persisted submissions in': 7.867813110351562e-06}
{'start_at': '2020-02-05 00:00:00', 'end_at': '2020-02-06 00:00:00', 'session time': 2.5201590061187744, 'num of subs': 883, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0018880367279052734, 'persisted submissions in': 2.51815128326416}
{'start_at': '2020-02-06 00:00:00', 'end_at': '2020-02-07 00:00:00', 'session time': 0.0021991729736328125, 'num of subs': 0, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.002050161361694336, 'persisted submissions in': 6.9141387939453125e-06}
{'start_at': '2020-02-07 00:00:00', 'end_at': '2020-02-08 00:00:00', 'session time': 1.76857328414917, 'num of subs': 609, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0015878677368164062, 'persisted submissions in': 1.766880989074707}
{'start_at': '2020-02-08 00:00:00', 'end_at': '2020-02-09 00:00:00', 'session time': 0.9321510791778564, 'num of subs': 326, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.002106189727783203, 'persisted submissions in': 0.9298958778381348}
